id,name,city,region,location,source
1932,بیلبورد محور یزد - میبد,تهران,محور یزد - میبد (یزد - تهران),محور یزد - میبد (یزد - تهران),billboardiha
3700,بیلبورد مدرس شمال به جنوب قبل از دوربرگردان الهیه,تهران,مدرس، شمال به جنوب، قبل از دوربرگردان الهیه,مدرس، شمال به جنوب، قبل از دوربرگردان الهیه,irbillboard
5,استرابورد ایستگاه تجریش,تهران,منطقه ۱,میدان تجریش، جنب ایستگاه مترو، خروجی شماره ۲,
1860,بیلبورد میدان تجریش,تهران,میدان تجریش، ضلع غربی ورودی سعد آباد و مجتمع ارگ,میدان تجریش، ضلع غربی ورودی سعد آباد و مجتمع ارگ,billboardiha
1605,بیلبورد میدان نوبنیاد,تهران,میدان نوبنیاد، روبه روی تاکسیرانی و مترو نوبنیاد,میدان نوبنیاد، روبه روی تاکسیرانی و مترو نوبنیاد,billboardiha
2991,بیلبورد نیاوران,تهران,نیاوران (باهنر) بعد از پمپ بنزین، نبش خیابان رفیعی، غرب به شرق,نیاوران (باهنر) بعد از پمپ بنزین، نبش خیابان رفیعی، غرب به شرق,billboardiha
2463,بیلبورد نیاوران,تهران,نیاوران (باهنر)، بعد از پمپ بنزین، نبش خیابان رفیعی، غرب به شرق,نیاوران (باهنر)، بعد از پمپ بنزین، نبش خیابان رفیعی، غرب به شرق,billboardiha
2854,بیلبورد باشگاه انقلاب,تهران,ورودی باشگاه انقلاب از درب شمال(سمت چپ),ورودی باشگاه انقلاب از درب شمال(سمت چپ),billboardiha
3619,بیلبورد ورودی رشت از تهران,تهران,ورودی رشت از تهران ، روبروی نمایشگاه بین المللی,ورودی رشت از تهران ، روبروی نمایشگاه بین المللی,billboardiha
1187,بیلبورد ورودی رشت از تهران,تهران,ورودی رشت از تهران، قبل از میدان گیل,ورودی رشت از تهران، قبل از میدان گیل,billboardiha
1193,بیلبورد ورودی رشت از تهران,تهران,ورودی رشت از تهران، نرسیده به میدان گیل، بیمارستان رسول اکرم,ورودی رشت از تهران، نرسیده به میدان گیل، بیمارستان رسول اکرم,billboardiha
2216,بیلبورد ورودی نسیم شهر,تهران,ورودی نسیم شهر، سمت چپ,ورودی نسیم شهر، سمت چپ,billboardiha
2147,بیلبورد پل سفید,تهران,پل سفید جنب پارک شهرداری، دید از تهران به شمال,پل سفید جنب پارک شهرداری، دید از تهران به شمال,billboardiha
2141,بیلبورد پل سفید,تهران,پل سفید، بعد از سه راه شورمست، دید از شمال به تهران,پل سفید، بعد از سه راه شورمست، دید از شمال به تهران,billboardiha
2146,بیلبورد پل سفید,تهران,پل سفید، جنب پارک شهرداری، دید از شمال به تهران,پل سفید، جنب پارک شهرداری، دید از شمال به تهران,billboardiha
2134,بیلبورد پل سفید,تهران,پل سفید، جنب پارک شهرداری، محور تهران به شمال,پل سفید، جنب پارک شهرداری، محور تهران به شمال,billboardiha
2133,بیلبورد پل سفید,تهران,پل سفید، جنب پارک شهرداری، محور شمال به تهران,پل سفید، جنب پارک شهرداری، محور شمال به تهران,billboardiha
